lemma_beta,freq
zeu/s,2
zhte/w,2
zugo/n,2
̓a)xaio/s,2
̓i)dai=os,2
trofeu/s,2
tre/xw,2
s1umpi/tnw,2
tele/w,2
s1unalge/w,2
s1w/frwn,2
s1xolh/,2
*eu)rus1a/khs,2
tarbe/w,2
tau=ros,2
taxu/nw,2
terpno/s,2
to/s1os,2
teu=xos,2
th=|de,2
thlo/qen,2
ti/nw,2
timh/,2
to/lma,2
to/pos,2
pro/s1eimi,2
pro/keimai,2
pro/gonos,2
o(mile/w,2
nu/ktwr,2
a)/dwros,2
o(/mws,2
a)/cios,2
o(/poi,2
o(/rkos,2
o(/ti,2
o(poi=os,2
no/os,2
o)/knos,2
o)/neidos,2
o)/rnis,2
o)du/romai,2
o)fqalmo/s,2
o)kne/w,2
o)tru/nw,2
nomi/zw,2
a)/elptos,2
pro/blhma,2
a)/ggelos,2
ma/thn,2
ma/xh,2
mani/a,2
a)/idris,2
me/nos,2
mei/wn,2
meta/,2
a)/ge,2
neos1fagh/s,2
mh=nis,2
mi/mnw,2
moi=ra,2
mw=n,2
mwri/a,2
a)/filos,2
neo/rrantos,2
oi)/koqen,2
oi)=ktos,2
oi)=os,2
pneu=ma,2
peris1te/llw,2
ph/gnumi,2
phda/w,2
phmai/nw,2
ple/os,2
pleura/,2
pleuro/n,2
po/ntos,2
oi)kh/twr,2
po/teros,2
polla/kis,2
poqi,2
potamo/s,2
pra=cis,2
pra=gos,2
*mene/laos,2
periptuxh/s,2
perifanh/s,2
peri/fantos,2
pela/zw,2
oi)kti/rw,2
oi)mw/zw,2
e)pixai/rw,2
ou)/pw,2
ou)/rios,2
*trw|a/s,2
ou)damou=,2
pa/ndhmos,2
*teleu/tas,2
pa/s1xw,2
pai/w,2
pantaxou=,2
pate/w,2
patri/s,2
pe/lagos,2
e)pw/numos,2
̓o)dus1s1eu/s,2
e)cerga/zomai,2
bla/ptw,2
ai)/linon,2
a)fikne/omai,2
a)nia/w,2
ba/cis,2
dw=ron,2
dori/lhptos,2
ai(ma/s1s1w,2
a)no/htos,2
e)/nqen,2
e)cepi/s1tamai,2
a)na/s1s1w,2
au)tos1fagh/s,2
e(/zomai,2
dunato/s,2
e)pe/xw,2
a)re/s1kw,2
e)celeuqeros1tome/w,2
a)na/lghtos,2
dw=ma,2
e(/ws,2
e)nnu/xios,2
e)/cw,2
bradu/s,2
e)ci/s1thmi,2
e)lpi/zw,2
a)pos1pa/w,2
e)fubri/zw,2
dras1ei/w,2
ai)s1xu/nh,2
e)pais1qa/nomai,2
e(/rkos,2
both/r,2
diplo/os,2
ba/ros,2
e)nqa/de,2
dou=pos,2
blas1ta/nw,2
ba/qron,2
du/s1foros,2
ai)dw/s,2
ai)a/zw,2
e)gkone/w,2
a)reth/,2
e)/peimi,2
a)na/,2
a)delfo/s,2
e)kpne/w,2
be/los,2
a)ris1teu/w,2
e)/tos,2
deu/teros,2
des1mw/ths,2
e)pis1kh/ptw,2
au)da/w,2
bas1ta/zw,2
ai)xmalwti/s,2
a)nu/w,2
des1mo/s,2
e)/rgw,2
e)kfu/w,2
deili/a,2
a)lhqh/s,2
deilo/s,2
e)/s1te,2
a)gaqo/s,2
e)klu/w,2
e)nalla/s1s1w,2
di=os,2
da/ios,2
a)/timos,2
e)canu/w,2
ai)ti/a,2
do/los,2
e)ne/pw,2
a)cio/w,2
e)kei=qen,2
boa/w,2
dw/rhma,2
de/s1poina,2
e)kei=s1e,2
a)ta/omai,2
pulwro/s,1
ai)po/lion,1
ai)qh/r,1
pukno/s,1
pwlodamne/w,1
*la/rtios,1
pu=r,1
puka/zw,1
ai)pu/s,1
e)pis1tolh/,1
pu/rgos,1
pros1embai/nw,1
profu/w,1
profwne/w,1
au)/tws,1
proka/mnw,1
prolei/pw,1
propa/twr,1
proqumi/a,1
ai)xma/zw,1
pros1ble/pw,1
ai)w/n,1
pros1e/rxomai,1
pros1ei=don,1
pros1enne/pw,1
ai)s1qa/nomai,1
pros1kale/w,1
ai)te/w,1
ai)s1xu/nw,1
pros1pe/tomai,1
pros1pi/ptw,1
pros1ti/qhmi,1
pros1tre/pw,1
pros1tro/paios,1
pros1wta/tw,1
protei/nw,1
pth/s1s1w,1
a)ka/rpwtos,1
ai)o/los,1
qeri/zw,1
*la/kaina,1
r(i/s,1
r(uto/s,1
r(uth/r,1
r(u=ma,1
r(u/omai,1
r(oh/,1
r(i/za,1
a)tima/w,1
s1a/lpigc,1
a)yo/fhtos,1
ai(/res1is,1
r(a/|dios,1
ai(mobafh/s,1
qumo/w,1
ai(mu/los,1
s1a/kos,1
s1akes1fo/ros,1
ai)no/s,1
s1fageu/s,1
a)s1fa/das1tos,1
a)s1falh/s,1
s1fo/dra,1
a)s1pi/s,1
s1falero/s,1
s1fagh/,1
a)s1pis1th/r,1
s1be/nnumi,1
a)s1tergh/s,1
s1fa/gion,1
a)s1tibh/s,1
a)ta/llw,1
s1e/las,1
a)ta/rbhtos,1
qu/ra,1
ai)/qw,1
qrh=nos,1
qe/s1mios,1
qermai/nw,1
a)is1to/w,1
*kullh/nios,1
qelonth/s,1
qeato/s,1
ai)gupio/s,1
qe/ros,1
ai)=s1a,1
qe/ama,1
qe/a,1
qauma/zw,1
ai)ne/w,1
qapte/os,1
ai)ni/s1s1omai,1
qermo/s,1
qes1mo/s,1
qh/gw,1
qh/r,1
qh/ra,1
qhga/nh,1
qhlu/nw,1
qhra/w,1
qhs1auro/s,1
qigga/nw,1
*krh/s,1
qnhto/s,1
qo/rubos,1
qolero/s,1
ai)anh/s,1
qorube/w,1
qra/s1os,1
prodida/s1kw,1
au)todah/s,1
probolh/,1
pla/th,1
a)gw/nios,1
bruxa/omai,1
perai/nw,1
pera/w,1
buqo/s,1
bw=los,1
ce/nos,1
cifokto/nos,1
peda/w,1
pe/tros,1
pe/s1hma,1
pe/rqw,1
pe/r,1
pe/nqos,1
cuno/s,1
bri/qw,1
peripeth/s,1
peris1kelh/s,1
bou/leuma,1
pla/c,1
bolh/,1
*skama/ndrios,1
phmonh/,1
bos1po/rios,1
phkto/s,1
bouko/los,1
peris1perxh/s,1
bouleu/w,1
ph/dhma,1
petrai=os,1
perixarh/s,1
boulh/,1
peris1s1o/s,1
pe/lw,1
pe/leia,1
*sou/nion,1
pantoi=os,1
para/ktios,1
decio/s,1
paptai/nw,1
panw/leqros,1
panu/s1taton,1
pantourgo/s,1
dei=ma,1
para/plhktos,1
pantaxh=,1
pamph/dhn,1
dei=pnon,1
pakto/w,1
paideu/w,1
pagxru/s1eos,1
