νύκτωρ,2
ἄδωρος,2
ὅμως,2
ἄξιος,2
ὅποι,2
ὅρκος,2
ὅτι,2
ὁποῖος,2
νόος,2
ὄκνος,2
ὄνειδος,2
ὄρνις,2
ὀδύρομαι,2
ὀφθαλμός,2
ὀκνέω,2
ὀτρύνω,2
νομίζω,2
ἄελπτος,2
πρόβλημα,2
ἄγγελος,2
μάτην,2
μάχη,2
μανία,2
ἄιδρις,2
μένος,2
μείων,2
μετά,2
ἄγε,2
νεος1φαγής,2
μῆνις,2
μίμνω,2
μοῖρα,2
μῶν,2
μωρία,2
ἄφιλος,2
νεόρραντος,2
οἴκοθεν,2
οἶκτος,2
οἶος,2
πνεῦμα,2
περις1τέλλω,2
πήγνυμι,2
πηδάω,2
πημαίνω,2
πλέος,2
πλευρά,2
πλευρόν,2
πόντος,2
οἰκήτωρ,2
πότερος,2
πολλάκις,2
ποθι,2
ποταμός,2
πρᾶξις,2
πρᾶγος,2
Μενέλαος,2
περιπτυχής,2
περιφανής,2
περίφαντος,2
πελάζω,2
οἰκτίρω,2
οἰμώζω,2
ἐπιχαίρω,2
οὔπω,2
οὔριος,2
Τρῳάς,2
οὐδαμοῦ,2
πάνδημος,2
Τελεύτας,2
πάς1χω,2
παίω,2
πανταχοῦ,2
πατέω,2
πατρίς,2
πέλαγος,2
ἐπώνυμος,2
̓ὀδυς1ς1εύς,2
ἐξεργάζομαι,2
βλάπτω,2
αἴλινον,2
ἀφικνέομαι,2
ἀνιάω,2
βάξις,2
δῶρον,2
δορίληπτος,2
αἱμάς1ς1ω,2
ἀνόητος,2
ἔνθεν,2
ἐξεπίς1ταμαι,2
ἀνάς1ς1ω,2
αὐτος1φαγής,2
ἕζομαι,2
δυνατός,2
ἐπέχω,2
ἀρές1κω,2
ἐξελευθερος1τομέω,2
ἀνάλγητος,2
δῶμα,2
ἕως,2
ἐννύχιος,2
ἔξω,2
βραδύς,2
ἐξίς1τημι,2
ἐλπίζω,2
ἀπος1πάω,2
ἐφυβρίζω,2
δρας1είω,2
αἰς1χύνη,2
ἐπαις1θάνομαι,2
ἕρκος,2
βοτήρ,2
διπλόος,2
βάρος,2
ἐνθάδε,2
δοῦπος,2
βλας1τάνω,2
βάθρον,2
δύς1φορος,2
αἰδώς,2
αἰάζω,2
ἐγκονέω,2
ἀρετή,2
ἔπειμι,2
ἀνά,2
ἀδελφός,2
ἐκπνέω,2
βέλος,2
ἀρις1τεύω,2
ἔτος,2
δεύτερος,2
δες1μώτης,2
ἐπις1κήπτω,2
αὐδάω,2
βας1τάζω,2
αἰχμαλωτίς,2
ἀνύω,2
δες1μός,2
ἔργω,2
ἐκφύω,2
δειλία,2
ἀληθής,2
δειλός,2
ἔς1τε,2
ἀγαθός,2
ἐκλύω,2
ἐναλλάς1ς1ω,2
δῖος,2
δάιος,2
ἄτιμος,2
ἐξανύω,2
αἰτία,2
δόλος,2
ἐνέπω,2
ἀξιόω,2
ἐκεῖθεν,2
βοάω,2
δώρημα,2
δές1ποινα,2
ἐκεῖς1ε,2
ἀτάομαι,2
πυλωρός,1
αἰπόλιον,1
αἰθήρ,1
πυκνός,1
πωλοδαμνέω,1
Λάρτιος,1
πῦρ,1
πυκάζω,1
αἰπύς,1
ἐπις1τολή,1
πύργος,1
προς1εμβαίνω,1
προφύω,1
προφωνέω,1
αὔτως,1
προκάμνω,1
προλείπω,1
προπάτωρ,1
προθυμία,1
αἰχμάζω,1
προς1βλέπω,1
αἰών,1
προς1έρχομαι,1
προς1εῖδον,1
προς1εννέπω,1
αἰς1θάνομαι,1
προς1καλέω,1
αἰτέω,1
αἰς1χύνω,1
προς1πέτομαι,1
προς1πίπτω,1
προς1τίθημι,1
προς1τρέπω,1
προς1τρόπαιος,1
προς1ωτάτω,1
προτείνω,1
πτής1ς1ω,1
ἀκάρπωτος,1
αἰόλος,1
θερίζω,1
Λάκαινα,1
ῥίς,1
ῥυτός,1
ῥυτήρ,1
ῥῦμα,1
ῥύομαι,1
ῥοή,1
ῥίζα,1
ἀτιμάω,1
ς1άλπιγξ,1
ἀψόφητος,1
αἵρες1ις,1
ῥᾴδιος,1
αἱμοβαφής,1
θυμόω,1
αἱμύλος,1
ς1άκος,1
ς1ακες1φόρος,1
αἰνός,1
ς1φαγεύς,1
ἀς1φάδας1τος,1
ἀς1φαλής,1
ς1φόδρα,1
ἀς1πίς,1
ς1φαλερός,1
ς1φαγή,1
ἀς1πις1τήρ,1
ς1βέννυμι,1
ἀς1τεργής,1
ς1φάγιον,1
ἀς1τιβής,1
ἀτάλλω,1
ς1έλας,1
ἀτάρβητος,1
θύρα,1
αἴθω,1
θρῆνος,1
θές1μιος,1
θερμαίνω,1
ἀις1τόω,1
Κυλλήνιος,1
θελοντής,1
θεατός,1
αἰγυπιός,1
θέρος,1
αἶς1α,1
θέαμα,1
θέα,1
θαυμάζω,1
αἰνέω,1
θαπτέος,1
αἰνίς1ς1ομαι,1
θερμός,1
θες1μός,1
θήγω,1
θήρ,1
θήρα,1
θηγάνη,1
θηλύνω,1
θηράω,1
θης1αυρός,1
θιγγάνω,1
Κρής,1
θνητός,1
θόρυβος,1
θολερός,1
αἰανής,1
θορυβέω,1
θράς1ος,1
προδιδάς1κω,1
αὐτοδαής,1
προβολή,1
πλάτη,1
ἀγώνιος,1
βρυχάομαι,1
περαίνω,1
περάω,1
βυθός,1
βῶλος,1
ξένος,1
ξιφοκτόνος,1
πεδάω,1
πέτρος,1
πές1ημα,1
πέρθω,1
πέρ,1
πένθος,1
ξυνός,1
βρίθω,1
περιπετής,1
περις1κελής,1
βούλευμα,1
πλάξ,1
βολή,1
Σκαμάνδριος,1
πημονή,1
βος1πόριος,1
πηκτός,1
βουκόλος,1
περις1περχής,1
βουλεύω,1
πήδημα,1
πετραῖος,1
περιχαρής,1
βουλή,1
περις1ς1ός,1
πέλω,1
πέλεια,1
Σούνιον,1
παντοῖος,1
παράκτιος,1
δεξιός,1
παπταίνω,1
πανώλεθρος,1
πανύς1τατον,1
παντουργός,1
δεῖμα,1
παράπληκτος,1
πανταχῆ,1
παμπήδην,1
δεῖπνον,1
πακτόω,1
παιδεύω,1
παγχρύς1εος,1
παράλιος,1
παραλλάξ,1
ξυρέω,1
δές1μιος,1
πέδον,1
παῦρος,1
δάκνω,1
πατρόθεν,1
δακρύω,1
Σπάρτη,1
παταγέω,1
παραπράς1ς1ω,1
παρθένος,1
παρους1ία,1
παροιμία,1
παρήκω,1
παρευθύνω,1
παρέχω,1
πλάς1ς1ω,1
πλάζω,1
πρότερος,1
πλατύς,1
ς1ιδηροβρώς,1
πρες1βεύω,1
πρέπω,1
αὐχενίζω,1
βάναυς1ος,1
Μύς1ιος,1
βάπτω,1
βάθος,1
Παλλάς,1
πορς1ύνω,1
πορευτέος,1
πορεύω,1
ποθέω,1
ποντόπορος,1
βαφή,1
πρίαμαι,1
αὐτόχειρ,1
πρίω,1
Λαομέδων,1
πρός1ωθεν,1
αὐδή,1
πρός1οψις,1
πρός1κειμαι,1
πρός1φθεγμα,1
αὐγή,1
πρόθυμος,1
ἀίδηλος,1
πρόνους,1
πρόνοια,1
αὐλός,1
αὐτίκα,1
πρόδηλος,1
πρόβλητος,1
πομπαῖος,1
Πέλοψ,1
πολύρραφος,1
πλῆθος,1
βῆς1ς1α,1
βιάζω,1
πλόος,1
πλόκος,1
πλης1ίος,1
βλάβη,1
πλήρης,1
Σις1υφίδης,1
πλευροκοπέω,1
βλέφαρον,1
πλεῖς1τος,1
ἀγχίαλος,1
ἀγωνάρχης,1
βός1κω,1
πόλυτλας,1
πόρος,1
πολύπονος,1
βαρύνω,1
