γεῖσσον	γεῖσσος		γεῖσον, γεῖσος	0
γελαίσας	γελᾶν		γελάω	0
γελᾶσα	γέλασα		γελάω	0
γέλω	γέλῳ		γέλως	0
γενειήταν	γενειήτης		*γενειάτης	0
γένευ	γενεῦ		γίγνομαι	0
γενοίατο	γενόμαν		γίγνομαι	0
γέργυρα	γεργύρα		γοργύρα	27
γεωπέδιον	γεώπεδον		γήπεδον	16
γεραίτερος	γεραίτατος		γεραιός	0
γημόρος	γαμόρος		γεωμόρος	0
γναπτός	γνάπτω		κναπτός, κνάπτω	0
γναφεύς	γναφευτικός, γναφεύω, γναφικός		κναφεύς, κναφευτικός, κναφεύω, κναφικός	0
γνοφερός	γνοφέω, γνόφος, γνοφώδης		δνοφερός, δνοφέω, δνόφος, δνοφώδης	0
γνῶ	γνῴῃ, γνῶθι		γιγνώσκω	0
γνῷς	γνώσεαι		γιγνώσκω	0
γοῦνα	γούνων		γόνυ	0
γρηῦς	γρῆϋς		γραῦς	0
δάε	δαείην		*δάω	0
δάεν	δαήμεναι		*δάω	0
δαΐξαι	δαΐξας		δαΐζω	0
δάκε	δακέειν		δάκνω	0
δαμείω	δαμήμεναι		δάμνημι	0
δαμόωνται	δαμόωσι		δαμάω	0
δάσασθαι	δασάσκετο		δαίω1	0
δεδάασθαι	δέδαε, δεδάηκα, δεδαημένος		*δάω	0
δεδάρθαι	δεδαρμένος		δέρω	0
δεδαυῖα	δεδαυμένος		δαίω2	0
δεδέηκα	δεδέημαι		δέω	0
δέδεξο	δεδέξομαι		δέχομαι	0
δέδηε	δεδήει		δαίω2	0
δεδῄωκα	δεδῄωμαι		δηϊόω	0
δέδιθι	δέδιμεν, δέδιτε		δείδω	0
δεδμήατο	δεδμήσομαι, δέδμητο, δέδμηντο		δάμνημι	0
δέδοκται	δέδοκτο		δοκέω	0
δειδέχαται	δειδέχατο		δείκνυμι	0
δείδια	δείδιθι, δείδεμεν, δειδέμεν		δείδω	0
δείδοικα	δειδυῖα		δείδω	0
Δεκελεεύς	Δεκελειεύς		Δεκελεύς	0
Δελφύνη	Δελφύνης		Δελφίνη	0
δέξο	δέξομαι		δέχομαι	0
δεῦε	δεύεσαν, δεύεσκον		δεύω1	0
δέχθαι	δεχθείς		δέχομαι	0
δηποτοῦν	δή ποτ' οὖν		δήποτε	0
διαδραμεῖν	διαδραμών		διατρέχω	0
διαειπέμεν	διαειπεῖν		διειπεῖν	0
διαπαντός	διὰ παντός		πᾶς	0
διατεσσάρων	διὰ τεσσάρων		τέσσαρες	0
διᾴττω	διάττω		διαΐσσω	0
διδασκέμεν	διδασκέμεναι		διδάσκω	0
διδόαμεν	διδόασι, διδοῖ, διδοῖσθα, διδόμεν		δίδωμι	0
δίδου	διδοῦναι		δίδωμι	0
διδυμητόκος	διδυματόκος		διδυμοτόκος	0
διδυμόχρους	διδυμόχρως		διδυμόχροος	0
διεξᾴττω	διεξάττω		διεξαΐσσω	0
δίκρους	δικροῦς		δίκροος	0
δῖνα	δίνα		δίνη	0
διολέσω	διολέω		διόλλυμι	0
Διόσκοροι	Διόσκουροι		Κάστωρ	0
διχόωνται	διχόωντι, διχόωσα		διχάω	0
δμᾶθεν	δμηθείς		δάμνημι	0
δοάσσατο	δοάσσεται		δοάζω	0
δολιχόεις	δουλιχόεις		δολιχός	0
δόμεν	δόμεναι		δίδωμι	0
δορικμής	δουρικμής		δορικανής	0
δρακεῖν	δρακείς		δέρκομαι	0
δυσάντης	δυσαντής		δυσάντητος	0
δώῃ	δώῃσι		δίδωμι	0
δωσέμεναι	δωσέμεν		δίδωμι	0
ἔα	ἔας, ἔατε		εἰμί	0
ἑά	ἑᾷ		ἑός	0
ἐάᾳ	ἐάαν, ἐάᾳς		ἐάω	0
ἔαγα	ἐάγην		ἄγνυμι	0
ἕαδα	ἕαδον		ἁνδάνω	0
ἑάλωκα	ἑαλώκειν, ἑάλων		ἁλίσκομαι	0
ἐᾶσα	ἔασι		εἰμί	0
ἕαται	ἕατο, ἧντο		ἧμαι	0
ἐϐησάμην	ἐϐήσετο		βαίνω	0
ἐϐλήθην	ἔϐλητο		βάλλω	0
ἐϐουλέατο	ἐϐουλήθην		βούλομαι	0
ἔϐωσα	ἐϐώσθην		βοάω	0
ἐγγέγαα	ἐγγείνασθαι		ἐγγίγνομαι	0
ἔγγιον	ἔγγιστα		ἐγγύς	0
ἐγέλαξα	ἐγέλασσα		γελάω	0
ἐγενόμην	ἔγεντο		γίγνομαι	0
ἐγκάτθεο	ἐγκάτθετο		ἐγκατατίθημι	0
ἔγνον	ἔγνωκα, ἔγνων		γιγνώσκω	0
ἔγρεο	ἐγρέσθαι		ἐγείρω	0
ἐγρηγόρθαι	ἐγρηγόρθασι, ἐγρήγορθε		ἐγείρω	0
ἐγών	ἔγων		ἐγώ	0
ἔδεε	ἐδεήθην, ἐδέησα		δέω	0
ἐδείδιμεν	ἐδείδιον, ἐδείδισαν		δείδω	0
ἐδήδοκα	ἐδήδοται		ἔδω	0
ἔδυν	ἐδύσετο		δύω1	0
ἔεδνα	ἐεδνόω, ἐεδνωτής		ἕδνα, ἑδνόω, ἑδνωτής	0
ἐείκοσι	ἐεικοστός		εἴκοσι	0
ἐέλμεθα	ἐελμένος		εἴλω	0
ἔεργε	ἐεργμένος		εἴργω	0
ἑέσσατο	ἕεστο		ἕννυμι	0
ἐθέλησθα	ἐθέλῃσθα, ἐθέλῃσι		ἐθέλω	0
ἔθεμεν	ετε, εσαν, ἐθέμην		τίθημι	0
ἔθετο	ἔθευ		τίθημι	0
ἐθηεῖτο	ἐθηεύμεσθα, ἐθηήσαντο		θεάομαι	0
εἰδείην	εἰδέναι, εἴδεσθαι		*εἴδω	0
εἰδέω	εἴδηκα		*εἴδω	0
εἰκοσιετής	εἰκοσιέτις		εἰκοσάετις	0
ἔϊκτο	ἔϊκτον		*εἴκω1	0
εἰλεῦνται	εἰλεῦντο		εἱλέω	0
εἰλήλουθα	εἰληλούθειν		ἔρχομαι	0
εἱλίσσω	εἱλίττω		ἑλίσσω	0
εἷλον	εἱλόμην		αἱρέω	0
εἱμαρμένος	εἵμαρται, εἵμαρτο		μείρομαι	0
εἵνεκα	εἵνεκεν		ἕνεκα, ἕνεκεν	0
εἶπα	εἰπεῖν, εἰπέμεν, εἶπον		*ἔπω	0
εἴπεσκον	εἴπῃσθα		*ἔπω	0
εἰράνα	Εἰράνα		εἰρήνη, Εἰρήνη	0
εἰργασάμην	εἰργάσθην		ἐργάζομαι	0
εἰρήθην	εἴρηκα, εἴρημαι		εἴρω2	0
εἰρύαται	εἰρύατο		ἐρύω	0
εἰρύμεναι	εἰρυμέναι		ἐρύω	0
εἰρωτάω	εἰρωτέω		ἐρωτάω	0
εἴσατο	εἵσατο		ἕζω	0
εἰσματεύομαι	ἐσματεύομαι		εἰσμάσσομαι	0
εἴωθα	εἰώθειν		ἔθω	0
ἐκγέγαα	ἐκγεγάμεν, ἐκγεγάονται, ἐκγεγάτην		ἐκγίγνομαι	0
ἐκδράντες	ἐκδρᾶσα		ἐκδιδράσκω	0
ἐκθεσία	ἐκθεσίη		ἔκθεσις	0
ἔκιξα	ἔκιχον		κιχάνω	0
ἔκλαγξα	ἔκλαγον		κλάζω	0
ἐκλαύθην	ἔκλαυσα		κλαίω	0
ἐκτακείη	ἐκτακείς		ἐκτήκω	0
ἐκτυφλώσσω	ἐκτυφλώττω		ἐκτυφλόω	0
ἔλα	ἐλᾷ		ἐλάω	0
ἐλασσονόω	ἐλαττονόω		ἐλασσόω	0
ἐλαττονάκις	ἐλαττονέω, ἐλαττονότης		ἐλασσονάκις, ἐλασσονέω, ἐλασσονότης	0
ἐλαττόω	ἐλαττωμα, ἐλαττων, ἐλαττωσις, ἐλαττωτικός		ἐλασσόω, ἐλασσωμα, ἐλασσων, ἐλασσωσις, ἐλασσωτικός	0
Ἐλείθυια	Ἐλειθυίη		Εἰλείθυια	0
ἔλειπτο	ἔλειφθεν		λείπω	0
ἑλέσθαι	ἕλεσκε		αἱρέω	0
ἕλευ	ἑλεῦ		αἱρέω	0
Ἐλευσινία	Ἐλευσίνια		Ἐλευσίνιος	0
ἐληλουθώς	ἐλήλυθα		ἔρχομαι	0
ἐλθεῖν	ἐλθέμεν, ἐλθέμεναι		ἔρχομαι	0
ἐλθόντεσσιν	ἔλθοσαν		ἔρχομαι	0
ἐλλισάμην	ἐλλίσσετο		λίσσομαι	0
ἕλοιμι	ἕλον		αἱρέω	0
ἐλοῦμεν	ἐλοῦτο		λούω	0
ἔλσαι	ἔλσας		εἴλω	0
ἐλυσθείς	ἐλύσθη		ἐλύω	0
ἐμϐέϐαα	ἐμϐέϐασαν, ἐμϐεϐαῶτα, ἐμϐέϐηκα		ἐμϐαίνω	0
